zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Others,2016,69,344,275,231,0.8677468087995654,0.6753112049294094,0.192435603870156,279.40499473899087,493.8049841202069,13339.452348592571,31.932258866796236,21.77639189720019,10.156397320263617,22.069315068493154,0.5454370439432992,14299.4,3675.8999999999987,-0.6959593162824989,0.2653665646399603,0.44293009404603617
Others,2017,55,354,299,195,0.8863355208836174,0.6290612386533633,0.25727428223025417,281.38945592212684,699.0299567163877,7205.862592620229,31.03944106942321,21.65952427607234,9.417518184150456,22.90794520547945,0.5554758423686165,14258.3,3362.7500000000005,-0.7030097975459404,0.2825166993869855,0.47734128047984703
Others,2018,62,360,298,99,0.878872152071708,0.6538608978261942,0.22501125424551383,281.4152048043761,1347.2739629374446,12109.43665323808,31.43057076310544,21.140092917510124,10.326200941594077,24.778493150684934,0.6266109584959981,15423.650000000001,4905.85,-0.7041122542091967,0.2804741494482886,0.47223746094535907
Others,2019,55,365,310,224,0.8929285386184269,0.6734958014562249,0.21943273716220202,292.5385791466326,907.0772170825101,10822.09847863398,29.882364704928964,21.40777684496502,8.547801941412311,24.839041095890412,0.6107644694472084,15862.7,6081.249999999999,-0.7257884192560835,0.28681171060803196,0.4712635906884384
Others,2020,62,365,303,226,0.8924851865963312,0.7187856243952004,0.1736995622011308,297.4079510863472,1435.5764287808831,12638.251996845169,29.572517565380647,21.084064233654544,8.618301572232216,27.695616438356158,0.6916252802570225,18171.949999999997,7813.9,-0.746783015257124,0.2874779789300768,0.5066043542250825
Others,2021,62,365,303,216,0.8940951731319003,0.6238420604029916,0.27025311272890873,287.9732460246345,4.84939201098909,22495.755315041803,29.415207557383965,21.102722396194356,8.624934916415057,26.59328767123288,0.6747138353520806,17411.1,6378.200000000001,-0.7244427954946017,0.25862591716136796,0.47280467676969656
Others,2022,103,365,262,211,0.8895661056447492,0.7793103448275864,0.11025576081716282,304.09631703900266,798.3710706132618,18104.41494945195,30.70914891394973,23.268636631607446,6.148825477603806,28.155890410958907,0.6543449072433671,17491.6,11414.700000000003,-0.741855672973274,0.31493154544852364,0.5502062251424924
Others,2023,71,355,284,320,0.8398659919559769,0.6713244458830446,0.16854154607293226,274.15319934197373,1159.5690652027852,12666.01988702228,30.742092815878028,23.22106583227422,8.260647568141737,16.30520547945206,0.42587461445282215,11196.7,223.10000000000127,-0.6967891005626802,0.25567845444786935,0.46602495571664415
Others,2024,84,365,281,266,0.889421460920502,0.6919201789242831,0.19750128199621886,291.42913519248236,1428.0084892678924,12110.781338787616,27.695117384180428,21.11780137471127,6.403521082982749,23.822191780821917,0.6249523747164982,15837.900000000001,5425.999999999999,-0.7217411511432658,0.29796269267762565,0.5075133824324046
Wet,2001,47,361,314,216,0.8697170795708533,0.6560535884965888,0.21366349107426452,277.48631145834685,653.0283523615075,12189.45253171397,32.2895748985087,21.24269531416727,11.004083611787497,23.23301369863014,0.6351985566421415,15379.250000000002,5790.25,-0.6892221886063282,0.24518291428327854,0.4483096792617751
